WKT,name,description
"POLYGON ((76.1629399 18.5598171, 76.1629292 18.5598578, 76.1626502 18.5598832, 76.1625966 18.5598527, 76.1625 18.5594916, 76.1624303 18.5592984, 76.1623498 18.5589068, 76.1622479 18.5584898, 76.1621459 18.5580423, 76.1621674 18.5579711, 76.1622264 18.5579355, 76.1624303 18.5578744, 76.1625966 18.5578948, 76.1627736 18.5579405, 76.1629131 18.5580016, 76.1630364 18.5581084, 76.1631008 18.5582101, 76.1630686 18.5584084, 76.1630472 18.5585915, 76.1630096 18.5587135, 76.1629399 18.5598171))",Polygon 1,
"POLYGON ((76.1629399 18.5598171, 76.1631008 18.5582101, 76.1634012 18.5582711, 76.1636909 18.5583525, 76.1634871 18.5597815, 76.1629399 18.5598171))",Polygon 2,
"POLYGON ((76.1633405 18.5622242, 76.1635337 18.5594578, 76.1643705 18.5594578, 76.1640057 18.5621836, 76.1633405 18.5622242))",Polygon 3,
"POLYGON ((76.1640325 18.5621937, 76.1642105 18.5610347, 76.164983 18.5610653, 76.1647845 18.5622298, 76.1640325 18.5621937))",Polygon 4,
"POLYGON ((76.1641918 18.5610026, 76.1643705 18.5594578, 76.1651681 18.5595329, 76.164983 18.5610653, 76.1641918 18.5610026))",Polygon 5,
"POLYGON ((76.1635337 18.5594578, 76.163616 18.5589517, 76.1643509 18.5589568, 76.1643705 18.5594578, 76.1635337 18.5594578))",Polygon 6,
"POLYGON ((76.1629339 18.5610802, 76.162612 18.5599309, 76.1634871 18.5597815, 76.1634006 18.5610191, 76.1629339 18.5610802))",Polygon 7,
"POLYGON ((76.1631498 18.5622524, 76.1629352 18.5611387, 76.1633859 18.5610574, 76.1633405 18.5622242, 76.1631498 18.5622524))",Polygon 8,
"POLYGON ((76.1643705 18.5594578, 76.164403 18.558996, 76.1652238 18.5590061, 76.1651567 18.5595147, 76.1643705 18.5594578))",Polygon 9,
"POLYGON ((76.1636319 18.5589286, 76.1637178 18.558415, 76.1643856 18.5585523, 76.1643239 18.5589515, 76.1636319 18.5589286))",Polygon 10,
"POLYGON ((76.1643508 18.5589388, 76.1644071 18.5585701, 76.1652386 18.5586718, 76.165201 18.5589616, 76.1643508 18.5589388))",Polygon 11,
"POLYGON ((76.16192 18.5575329, 76.1623813 18.5572685, 76.1625852 18.5575329, 76.1626281 18.5577364, 76.1621131 18.5578889, 76.16192 18.5575329))",Polygon 12,
"POLYGON ((76.1618234 18.5575024, 76.1611583 18.5567498, 76.1613514 18.556587, 76.1617483 18.5564752, 76.1618878 18.5567599, 76.1620917 18.5569735, 76.1622526 18.5572075, 76.1618234 18.5575024))",Polygon 13,
"POLYGON ((76.1643424 18.5564312, 76.1646213 18.5563498, 76.164793 18.5561667, 76.1649861 18.5561261, 76.1652651 18.5562888, 76.1654797 18.5564108, 76.1656299 18.5565939, 76.1658015 18.5566956, 76.166059 18.5570414, 76.1663809 18.5572449, 76.166295 18.5574279, 76.1659732 18.5576517, 76.1656299 18.5573669, 76.1651149 18.5573466, 76.1647501 18.5573059, 76.1645784 18.5570821, 76.1643853 18.556838, 76.1643424 18.5564312))",Polygon 14,
"POLYGON ((76.1661878 18.5577534, 76.1661591 18.557672, 76.1662181 18.5575449, 76.1662664 18.5574737, 76.1663469 18.557377, 76.1663737 18.5573211, 76.1669906 18.557733, 76.1668136 18.5582111, 76.1661878 18.5577534))",Polygon 15,
"POLYGON ((76.1668136 18.5582111, 76.1670153 18.5577777, 76.1674284 18.5579811, 76.1672138 18.558449, 76.1668136 18.5582111))",Polygon 16,
